,ID,Count
0,18288,481.57833434793827
1,18289,384.32470569550077
2,18290,325.25707590325123
3,18291,268.7483017047256
4,18292,226.20625770338205
5,18293,202.49191372274964
6,18294,217.7337926940621
7,18295,252.513689459594
8,18296,290.7852687744218
9,18297,375.7581021860774
10,18298,533.3459513594305
11,18299,591.2839191504376
12,18300,597.5484084300562
13,18301,528.4849815359014
14,18302,565.0791839397933
15,18303,557.941774022851
16,18304,543.7011863708221
17,18305,556.3670936574822
18,18306,570.0599663998175
19,18307,604.8912114381335
20,18308,581.2795640030681
21,18309,542.5629663241148
22,18310,544.5313167808255
23,18311,531.6600164030307
24,18312,365.8746387177173
25,18313,291.98710327579
26,18314,247.11102358376402
27,18315,204.17901051415419
28,18316,171.8580901796046
29,18317,153.84133897319995
30,18318,165.4212140719394
31,18319,191.84491558865813
32,18320,220.92139028914218
33,18321,285.4787063224842
34,18322,405.20460192505806
35,18323,449.22243146939536
36,18324,453.98181865203287
37,18325,401.5115255319734
38,18326,429.313628801041
39,18327,423.8910483224623
40,18328,413.0718949455381
41,18329,422.6946996317446
42,18330,433.09773172494096
43,18331,459.5604446120094
44,18332,441.62171614630324
45,18333,412.20714290279057
46,18334,413.7025787661877
47,18335,403.92372859858335
48,18336,360.41610923741996
49,18337,287.6309111749016
50,18338,243.4243433266525
51,18339,201.1328383278132
52,18340,169.2941178448161
53,18341,151.54616080229232
54,18342,162.9532742966031
55,18343,188.98275730664128
56,18344,217.62543644564022
57,18345,281.2196138094863
58,18346,399.1593038062492
59,18347,442.52042584807
60,18348,447.2088071382641
61,18349,395.52132488161794
62,18350,422.9086450959203
63,18351,417.5669647734862
64,18352,406.9092236985099
65,18353,416.38846455846465
66,18354,426.6362925151726
67,18355,452.70420488004856
68,18356,435.03310654719974
69,18357,406.0573729996081
70,18358,407.5304982683848
71,18359,397.89753998907975
72,18360,509.91092334213363
73,18361,406.93559399787716
74,18362,344.3928517298326
75,18363,284.5595096266888
76,18364,239.51459919283633
77,18365,214.40507458768525
78,18366,230.54367556992074
79,18367,267.36977011894015
80,18368,307.8929725852828
81,18369,397.8649934458182
82,18370,564.72417283205
83,18371,626.0707919503727
84,18372,632.7038385079227
85,18373,559.5772186726399
86,18374,598.3243594924256
87,18375,590.7670359555451
88,18376,575.6886350378363
89,18377,589.0997127771444
90,18378,603.5981751980181
91,18379,640.4786389811161
92,18380,615.477852844121
93,18381,574.4834503491004
94,18382,576.567604322101
